,1,2,3,5,6,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,4,7,11,30
20231123__ball_4,False,False,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,False
20231123__ball_5,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
20231123__ball_6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20231123__star,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
20231127__ball_1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
20231127__ball_2,False,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20231127__ball_3,False,False,False,False,False,,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
20231127__ball_4,False,False,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False
20231127__ball_5,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False
20231127__ball_6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
20231127__star,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
20231130__ball_1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
20231130__ball_2,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,True,False,False,False,False,False,False,False,False
20231130__ball_3,False,False,False,False,False,,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20231130__ball_4,False,False,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,True,False,False,False,False,False,False,False
20231130__ball_5,False,False,False,False,False,False,False,False,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
20231130__ball_6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20231130__star,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
20231204__ball_1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
20231204__ball_2,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20231204__ball_3,False,False,False,False,False,,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
20231204__ball_4,False,False,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,False,False,False,False,False,False,False
20231204__ball_5,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
20231204__ball_6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
20231204__star,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
20231207__ball_1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
20231207__ball_2,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,False
20231207__ball_3,False,False,False,True,False,,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20231207__ball_4,True,False,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False
20231207__ball_5,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,True,False,False,False,,False,False,False,False,False,False,False,False
20231207__ball_6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20231207__star,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
20231211__ball_1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,
20231211__ball_2,False,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20231211__ball_3,False,False,False,False,False,,,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20231211__ball_4,False,False,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,True
20231211__ball_5,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,True,False,False,False,,False,False,False,False,False,False,False,False
20231211__ball_6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
20231211__star,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
20231214__ball_1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
20231214__ball_2,False,False,True,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20231214__ball_3,False,False,False,False,False,,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20231214__ball_4,False,False,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,False,False,False,False
20231214__ball_5,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
20231214__ball_6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20231214__star,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
20231218__ball_1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
20231218__ball_2,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20231218__ball_3,False,True,False,False,False,,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20231218__ball_4,False,False,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,False,False,False,False
20231218__ball_5,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,True,False,False,False,False
20231218__ball_6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
20231218__star,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
20231221__ball_1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,,,
20231221__ball_2,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20231221__ball_3,False,False,False,False,False,,,False,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20231221__ball_4,False,False,False,False,False,False,False,False,,False,False,True,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False
20231221__ball_5,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
20231221__ball_6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20231221__star,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
20231225__ball_1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
20231225__ball_2,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20231225__ball_3,False,False,False,False,False,,,False,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20231225__ball_4,False,False,False,False,False,False,False,False,,False,False,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False
20231225__ball_5,False,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
20231225__ball_6,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20231225__star,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
20231228__ball_1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
20231228__ball_2,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,True,False
20231228__ball_3,False,False,False,True,False,,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20231228__ball_4,False,False,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,False,False,False,False,False
20231228__ball_5,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
20231228__ball_6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20231228__star,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
20240101__ball_1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
20240101__ball_2,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20240101__ball_3,False,True,False,False,False,,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20240101__ball_4,False,False,False,False,False,False,False,False,,False,False,False,False,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False
20240101__ball_5,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,True,False,False,False,False,False
20240101__ball_6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20240101__star,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
20240104__ball_1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,,,
20240104__ball_2,False,False,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20240104__ball_3,False,False,False,False,False,,,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20240104__ball_4,False,False,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,True
20240104__ball_5,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
20240104__ball_6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
20240104__star,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
20240108__ball_1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
20240108__ball_2,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20240108__ball_3,False,False,False,False,False,,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20240108__ball_4,False,False,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,True,False,False,False,False
