,1,2,3,4,5,6,7,8,9,10,11,12
20050121__star_2,False,False,False,False,True,False,False,False,False,False,False,False
20050128__star_1,False,False,False,False,True,False,False,False,False,False,False,False
20050128__star_2,False,False,False,False,False,False,True,False,False,False,False,False
20050204__star_1,False,False,False,False,False,False,True,False,False,False,False,False
20050204__star_2,False,False,False,False,False,False,False,True,False,False,False,False
20050211__star_1,False,False,False,False,False,False,True,False,False,False,False,False
20050211__star_2,False,False,False,True,False,False,False,False,False,False,False,False
20050218__star_1,False,False,False,False,False,False,False,True,False,False,False,False
20050218__star_2,False,False,False,False,False,False,False,False,True,False,False,False
20050225__star_1,False,False,False,False,False,False,False,True,False,False,False,False
20050225__star_2,False,False,False,True,False,False,False,False,False,False,False,False
20050304__star_1,False,False,False,False,False,False,True,False,False,False,False,False
20050304__star_2,False,False,False,False,False,False,False,False,True,False,False,False
20050311__star_1,True,False,False,False,False,False,False,False,False,False,False,False
20050311__star_2,False,False,False,True,False,False,False,False,False,False,False,False
20050318__star_1,False,False,False,False,True,False,False,False,False,False,False,False
20050318__star_2,False,False,False,False,False,False,True,False,False,False,False,False
20050325__star_1,False,False,False,False,False,False,False,False,True,False,False,False
20050325__star_2,False,False,False,False,False,True,False,False,False,False,False,False
20050401__star_1,False,False,True,False,False,False,False,False,False,False,False,False
20050401__star_2,False,False,False,False,False,False,True,False,False,False,False,False
20050408__star_1,False,False,True,False,False,False,False,False,False,False,False,False
20050408__star_2,True,False,False,False,False,False,False,False,False,False,False,False
20050415__star_1,False,False,False,False,False,False,False,False,True,False,False,False
20050415__star_2,False,False,True,False,False,False,False,False,False,False,False,False
20050422__star_1,False,False,False,False,False,False,False,False,True,False,False,False
20050422__star_2,False,False,False,False,True,False,False,False,False,False,False,False
20050429__star_1,True,False,False,False,False,False,False,False,False,False,False,False
20050429__star_2,False,False,False,False,False,False,False,True,False,False,False,False
20050506__star_1,False,False,False,False,False,True,False,False,False,False,False,False
20050506__star_2,False,False,False,False,False,False,False,True,False,False,False,False
20050513__star_1,False,False,False,False,False,False,False,False,True,False,False,False
20050513__star_2,False,True,False,False,False,False,False,False,False,False,False,False
