,1,2,3,4,5,6,7,8,9,10
2012028__star,0,0,1,0,0,0,0,0,0,0
2012029__star,0,0,0,0,0,0,1,0,0,0
2012030__star,0,0,0,0,1,0,0,0,0,0
2012031__star,0,0,0,0,0,0,0,0,0,1
2012032__star,0,0,0,0,0,0,0,0,1,0
2012033__star,1,0,0,0,0,0,0,0,0,0
2012034__star,0,0,0,1,0,0,0,0,0,0
2012035__star,0,0,0,0,1,0,0,0,0,0
2012036__star,0,0,0,0,0,0,0,1,0,0
2012037__star,0,0,0,0,0,1,0,0,0,0
2012038__star,0,0,0,0,0,0,0,0,1,0
2012039__star,0,0,0,0,0,0,0,0,1,0
2012040__star,0,1,0,0,0,0,0,0,0,0
2012041__star,0,0,0,0,0,0,0,1,0,0
2012042__star,0,0,0,0,0,0,0,1,0,0
2012043__star,0,0,0,0,0,0,0,0,0,1
2012044__star,1,0,0,0,0,0,0,0,0,0
2012045__star,1,0,0,0,0,0,0,0,0,0
2012046__star,0,1,0,0,0,0,0,0,0,0
2012047__star,0,0,1,0,0,0,0,0,0,0
2012048__star,0,0,0,0,0,0,0,0,0,1
2012049__star,0,0,0,0,0,1,0,0,0,0
2012050__star,0,0,0,0,0,0,1,0,0,0
2012051__star,0,0,0,1,0,0,0,0,0,0
2012052__star,0,0,0,1,0,0,0,0,0,0
2012053__star,1,0,0,0,0,0,0,0,0,0
2012054__star,0,0,0,0,0,0,0,0,1,0
2012055__star,0,0,0,0,0,0,0,0,0,1
2012056__star,0,0,0,1,0,0,0,0,0,0
2012057__star,0,0,0,0,1,0,0,0,0,0
2012058__star,0,0,0,0,0,1,0,0,0,0
2012059__star,1,0,0,0,0,0,0,0,0,0
2012060__star,0,1,0,0,0,0,0,0,0,0
2012061__star,0,0,0,0,0,0,0,0,0,1
2012062__star,0,0,0,0,0,0,0,0,1,0
2012063__star,0,0,0,0,0,0,1,0,0,0
2012064__star,0,0,1,0,0,0,0,0,0,0
2012065__star,0,0,1,0,0,0,0,0,0,0
2012066__star,1,0,0,0,0,0,0,0,0,0
2012067__star,0,0,0,1,0,0,0,0,0,0
2012068__star,0,0,0,0,0,1,0,0,0,0
2012069__star,0,0,0,0,0,1,0,0,0,0
2012070__star,1,0,0,0,0,0,0,0,0,0
2012071__star,0,0,0,0,0,0,0,0,0,1
2012072__star,0,0,0,0,0,1,0,0,0,0
2012073__star,0,0,1,0,0,0,0,0,0,0
2012074__star,0,0,0,0,1,0,0,0,0,0
2012075__star,0,0,1,0,0,0,0,0,0,0
2012076__star,0,0,0,0,0,0,1,0,0,0
2012077__star,0,0,0,0,0,0,1,0,0,0
2012078__star,0,0,0,1,0,0,0,0,0,0
2012079__star,0,0,0,0,1,0,0,0,0,0
2012080__star,0,0,0,0,0,1,0,0,0,0
2012081__star,1,0,0,0,0,0,0,0,0,0
2012082__star,0,0,1,0,0,0,0,0,0,0
2012083__star,0,0,0,0,0,0,0,0,1,0
2012084__star,0,0,0,0,0,1,0,0,0,0
2012085__star,0,1,0,0,0,0,0,0,0,0
2012086__star,0,0,0,0,1,0,0,0,0,0
2012087__star,0,0,1,0,0,0,0,0,0,0
2012088__star,0,0,1,0,0,0,0,0,0,0
2012089__star,0,0,0,0,0,1,0,0,0,0
2012090__star,0,0,1,0,0,0,0,0,0,0
2012091__star,0,0,1,0,0,0,0,0,0,0
2012092__star,0,0,0,0,0,1,0,0,0,0
2012093__star,0,0,0,0,0,1,0,0,0,0
2012094__star,0,0,0,0,0,0,1,0,0,0
2012095__star,0,0,0,1,0,0,0,0,0,0
2012096__star,0,0,0,0,0,0,0,0,1,0
2012097__star,0,0,0,1,0,0,0,0,0,0
2012098__star,0,0,0,0,1,0,0,0,0,0
2012099__star,0,0,0,0,0,0,1,0,0,0
2012100__star,0,1,0,0,0,0,0,0,0,0
2012101__star,0,0,0,0,0,0,1,0,0,0
2012102__star,0,0,0,0,0,0,0,0,1,0
2012103__star,0,0,0,0,1,0,0,0,0,0
2012104__star,0,0,0,0,0,0,0,0,1,0
2012105__star,0,0,0,0,0,0,0,0,0,1
2012106__star,0,0,1,0,0,0,0,0,0,0
2012107__star,0,0,0,1,0,0,0,0,0,0
2012108__star,0,0,0,1,0,0,0,0,0,0
2012109__star,0,0,0,0,0,0,0,0,1,0
2012110__star,0,0,0,0,0,0,0,1,0,0
2012111__star,0,1,0,0,0,0,0,0,0,0
2012112__star,0,0,0,0,0,0,1,0,0,0
2012113__star,0,0,0,0,0,0,1,0,0,0
2012114__star,0,0,0,0,0,0,0,0,1,0
2012115__star,0,0,0,0,0,1,0,0,0,0
2012116__star,0,0,0,0,0,0,0,0,1,0
2012117__star,1,0,0,0,0,0,0,0,0,0
2012118__star,0,0,0,0,0,1,0,0,0,0
2012119__star,1,0,0,0,0,0,0,0,0,0
2012120__star,0,0,0,1,0,0,0,0,0,0
2012121__star,0,1,0,0,0,0,0,0,0,0
2012122__star,0,0,1,0,0,0,0,0,0,0
2012123__star,0,0,0,1,0,0,0,0,0,0
2012124__star,0,0,0,0,0,0,0,1,0,0
2012125__star,0,1,0,0,0,0,0,0,0,0
2012126__star,0,0,0,0,1,0,0,0,0,0
2012127__star,0,0,0,0,1,0,0,0,0,0
2012128__star,0,0,0,0,0,0,1,0,0,0
2012129__star,1,0,0,0,0,0,0,0,0,0
2012130__star,0,0,0,0,0,0,1,0,0,0
2012131__star,1,0,0,0,0,0,0,0,0,0
2012132__star,0,0,0,0,0,0,0,1,0,0
2012133__star,0,0,0,0,0,0,1,0,0,0
2012134__star,0,0,0,0,0,0,1,0,0,0
2012135__star,0,0,0,0,1,0,0,0,0,0
2012136__star,0,0,0,0,0,0,1,0,0,0
2012137__star,0,0,0,0,0,0,0,1,0,0
2012138__star,0,0,0,0,0,0,1,0,0,0
2012139__star,1,0,0,0,0,0,0,0,0,0
2012140__star,0,0,0,0,0,0,0,0,0,1
2012141__star,0,1,0,0,0,0,0,0,0,0
2012142__star,0,0,0,0,0,1,0,0,0,0
2012143__star,1,0,0,0,0,0,0,0,0,0
2012144__star,0,0,0,0,0,0,0,0,0,1
2012145__star,0,0,0,0,0,1,0,0,0,0
2012146__star,0,0,0,0,0,0,0,1,0,0
2012147__star,0,1,0,0,0,0,0,0,0,0
2012148__star,0,0,0,0,0,0,0,1,0,0
2012149__star,0,0,0,1,0,0,0,0,0,0
2012150__star,0,0,0,0,0,0,0,0,1,0
2012151__star,0,0,0,0,1,0,0,0,0,0
2012152__star,0,0,0,0,0,0,0,1,0,0
2012153__star,1,0,0,0,0,0,0,0,0,0
2012154__star,0,0,0,0,0,1,0,0,0,0
2012155__star,0,0,0,0,0,0,0,0,1,0
2012156__star,0,0,0,1,0,0,0,0,0,0
2012157__star,0,0,1,0,0,0,0,0,0,0
2013001__star,0,0,0,1,0,0,0,0,0,0
2013002__star,0,0,0,0,0,1,0,0,0,0
2013003__star,0,0,0,0,1,0,0,0,0,0
2013004__star,0,0,0,0,0,0,0,0,1,0
2013005__star,0,0,0,0,0,0,1,0,0,0
2013006__star,0,0,0,0,0,1,0,0,0,0
2013007__star,0,0,0,0,1,0,0,0,0,0
2013008__star,0,0,0,0,0,0,0,1,0,0
2013009__star,0,0,0,0,0,1,0,0,0,0
2013010__star,0,0,0,0,0,1,0,0,0,0
2013011__star,0,0,0,0,0,1,0,0,0,0
2013012__star,0,0,0,0,0,0,0,0,1,0
2013013__star,0,0,0,0,1,0,0,0,0,0
2013014__star,0,0,1,0,0,0,0,0,0,0
2013015__star,0,1,0,0,0,0,0,0,0,0
2013016__star,1,0,0,0,0,0,0,0,0,0
2013017__star,0,0,0,0,0,0,1,0,0,0
2013018__star,0,0,0,0,0,0,1,0,0,0
2013019__star,0,1,0,0,0,0,0,0,0,0
2013020__star,0,0,0,0,0,1,0,0,0,0
2013021__star,0,0,0,0,1,0,0,0,0,0
2013022__star,1,0,0,0,0,0,0,0,0,0
2013023__star,0,0,0,0,1,0,0,0,0,0
2013024__star,0,1,0,0,0,0,0,0,0,0
2013025__star,0,0,0,0,0,0,1,0,0,0
2013026__star,0,1,0,0,0,0,0,0,0,0
2013027__star,0,0,0,0,0,0,0,0,0,1
2013028__star,0,0,0,1,0,0,0,0,0,0
2013029__star,0,0,0,0,1,0,0,0,0,0
2013030__star,0,0,0,0,0,1,0,0,0,0
2013031__star,0,0,0,0,0,0,1,0,0,0
2013032__star,0,0,0,0,1,0,0,0,0,0
2013033__star,0,0,0,0,0,0,0,0,1,0
2013034__star,0,0,0,0,0,0,1,0,0,0
2013035__star,0,0,0,0,0,1,0,0,0,0
2013036__star,0,0,0,1,0,0,0,0,0,0
2013037__star,0,0,1,0,0,0,0,0,0,0
2013038__star,0,1,0,0,0,0,0,0,0,0
2013039__star,0,1,0,0,0,0,0,0,0,0
2013040__star,0,0,0,0,0,0,0,1,0,0
2013041__star,0,0,0,0,0,0,1,0,0,0
2013042__star,0,1,0,0,0,0,0,0,0,0
2013043__star,0,0,0,0,1,0,0,0,0,0
2013044__star,0,0,0,1,0,0,0,0,0,0
2013045__star,0,0,1,0,0,0,0,0,0,0
2013046__star,0,0,0,0,0,0,0,1,0,0
2013047__star,0,0,0,0,0,0,0,0,1,0
2013048__star,1,0,0,0,0,0,0,0,0,0
2013049__star,0,0,0,0,0,0,0,0,1,0
2013050__star,0,0,0,0,0,0,0,0,0,1
2013051__star,0,0,0,0,0,0,0,0,1,0
2013052__star,0,0,0,0,0,0,0,0,1,0
2013053__star,0,0,0,1,0,0,0,0,0,0
2013054__star,0,0,0,0,0,0,1,0,0,0
2013055__star,0,0,0,0,0,0,0,0,0,1
2013056__star,0,0,0,0,0,0,0,0,1,0
2013057__star,0,0,0,0,1,0,0,0,0,0
2013058__star,0,0,0,1,0,0,0,0,0,0
2013059__star,0,0,1,0,0,0,0,0,0,0
2013060__star,0,0,1,0,0,0,0,0,0,0
2013061__star,0,0,0,0,0,0,0,0,1,0
2013062__star,0,1,0,0,0,0,0,0,0,0
2013063__star,0,1,0,0,0,0,0,0,0,0
2013064__star,0,0,0,0,0,0,1,0,0,0
2013065__star,0,0,1,0,0,0,0,0,0,0
2013066__star,0,0,0,0,0,0,0,0,1,0
2013067__star,1,0,0,0,0,0,0,0,0,0
2013068__star,0,1,0,0,0,0,0,0,0,0
2013069__star,1,0,0,0,0,0,0,0,0,0
2013070__star,0,0,0,1,0,0,0,0,0,0
2013071__star,0,1,0,0,0,0,0,0,0,0
2013072__star,1,0,0,0,0,0,0,0,0,0
2013073__star,1,0,0,0,0,0,0,0,0,0
2013074__star,0,0,0,0,0,0,0,1,0,0
2013075__star,1,0,0,0,0,0,0,0,0,0
2013076__star,0,0,0,0,0,0,0,1,0,0
2013077__star,0,0,0,0,0,0,1,0,0,0
2013078__star,0,0,0,0,0,1,0,0,0,0
2013079__star,0,0,0,1,0,0,0,0,0,0
2013080__star,0,1,0,0,0,0,0,0,0,0
2013081__star,0,0,0,0,1,0,0,0,0,0
2013082__star,0,0,0,0,0,0,1,0,0,0
2013083__star,0,0,0,0,0,0,0,1,0,0
2013084__star,0,0,0,0,0,0,0,0,1,0
2013085__star,0,0,0,1,0,0,0,0,0,0
2013086__star,0,0,0,0,0,0,1,0,0,0
2013087__star,1,0,0,0,0,0,0,0,0,0
2013088__star,0,0,1,0,0,0,0,0,0,0
2013089__star,0,0,0,1,0,0,0,0,0,0
2013090__star,0,0,0,0,1,0,0,0,0,0
2013091__star,0,0,0,0,0,0,1,0,0,0
2013092__star,0,0,0,0,0,0,0,0,1,0
2013093__star,0,0,0,1,0,0,0,0,0,0
2013094__star,0,0,0,1,0,0,0,0,0,0
2013095__star,0,0,0,0,1,0,0,0,0,0
2013096__star,0,0,0,0,0,0,1,0,0,0
2013097__star,0,1,0,0,0,0,0,0,0,0
2013098__star,0,0,0,0,0,0,0,0,0,1
2013099__star,0,0,0,0,0,0,0,0,1,0
2013100__star,0,0,0,0,0,0,0,0,0,1
2013101__star,0,0,0,0,0,0,1,0,0,0
2013102__star,0,0,0,0,0,0,0,0,0,1
2013103__star,1,0,0,0,0,0,0,0,0,0
2013104__star,0,0,0,0,0,0,1,0,0,0
2013105__star,0,0,0,0,0,0,0,1,0,0
2013106__star,0,0,0,0,0,1,0,0,0,0
2013107__star,0,0,1,0,0,0,0,0,0,0
2013108__star,0,0,0,0,0,0,1,0,0,0
2013109__star,0,1,0,0,0,0,0,0,0,0
2013110__star,0,0,0,0,0,0,1,0,0,0
2013111__star,0,0,0,0,1,0,0,0,0,0
2013112__star,0,0,1,0,0,0,0,0,0,0
2013113__star,0,0,0,0,0,0,0,0,1,0
2013114__star,1,0,0,0,0,0,0,0,0,0
2013115__star,0,0,0,0,1,0,0,0,0,0
2013116__star,0,0,0,0,1,0,0,0,0,0
2013117__star,0,0,0,0,0,0,0,0,1,0
2013118__star,0,0,0,0,0,0,1,0,0,0
2013119__star,0,0,0,0,0,0,0,0,1,0
2013120__star,0,0,0,0,1,0,0,0,0,0
2013121__star,0,1,0,0,0,0,0,0,0,0
2013122__star,0,0,0,0,0,0,0,1,0,0
2013123__star,0,0,0,1,0,0,0,0,0,0
2013124__star,0,0,0,0,0,0,0,1,0,0
2013125__star,1,0,0,0,0,0,0,0,0,0
2013126__star,0,0,0,0,0,0,1,0,0,0
2013127__star,0,0,1,0,0,0,0,0,0,0
2013128__star,0,0,0,0,0,0,1,0,0,0
2013129__star,0,0,0,0,0,0,0,1,0,0
2013130__star,1,0,0,0,0,0,0,0,0,0
2013131__star,0,0,0,0,0,0,0,0,1,0
2013132__star,0,0,0,0,0,1,0,0,0,0
2013133__star,0,0,1,0,0,0,0,0,0,0
2013134__star,0,0,0,1,0,0,0,0,0,0
2013135__star,0,0,0,0,0,0,0,0,1,0
2013136__star,0,0,0,0,0,1,0,0,0,0
2013137__star,0,0,0,0,0,0,0,1,0,0
2013138__star,0,0,0,0,0,0,0,0,0,1
2013139__star,1,0,0,0,0,0,0,0,0,0
2013140__star,0,0,0,0,0,0,0,0,1,0
2013141__star,0,0,0,1,0,0,0,0,0,0
2013142__star,0,0,0,0,0,0,0,0,1,0
2013143__star,0,1,0,0,0,0,0,0,0,0
2013144__star,0,0,0,0,1,0,0,0,0,0
2013145__star,0,0,1,0,0,0,0,0,0,0
2013146__star,0,0,0,0,0,0,1,0,0,0
2013147__star,0,0,0,0,0,1,0,0,0,0
2013148__star,0,0,0,0,0,0,0,1,0,0
2013149__star,1,0,0,0,0,0,0,0,0,0
2013150__star,0,0,0,0,0,1,0,0,0,0
2013151__star,1,0,0,0,0,0,0,0,0,0
2013152__star,0,0,0,1,0,0,0,0,0,0
2013153__star,0,0,0,0,1,0,0,0,0,0
2013154__star,0,0,1,0,0,0,0,0,0,0
2013155__star,0,0,0,0,0,0,1,0,0,0
2013156__star,0,0,0,0,0,0,0,1,0,0
2014001__star,0,0,0,0,0,0,1,0,0,0
2014002__star,0,0,0,0,1,0,0,0,0,0
2014003__star,0,0,0,0,0,0,0,0,1,0
2014004__star,0,0,0,0,0,0,0,1,0,0
2014005__star,0,0,0,0,0,0,0,0,1,0
2014006__star,0,0,0,1,0,0,0,0,0,0
2014007__star,0,0,0,0,0,1,0,0,0,0
2014008__star,0,0,0,0,0,0,0,1,0,0
2014009__star,0,0,0,0,1,0,0,0,0,0
2014010__star,0,0,0,0,0,0,1,0,0,0
2014011__star,0,0,0,0,1,0,0,0,0,0
2014012__star,0,0,0,1,0,0,0,0,0,0
2014013__star,0,0,0,0,0,0,0,1,0,0
2014014__star,0,0,0,0,0,1,0,0,0,0
2014015__star,0,1,0,0,0,0,0,0,0,0
2014016__star,0,0,0,0,0,0,0,1,0,0
2014017__star,0,0,0,0,0,0,1,0,0,0
2014018__star,0,1,0,0,0,0,0,0,0,0
2014019__star,0,0,0,0,0,0,1,0,0,0
2014020__star,0,0,0,0,0,0,0,0,1,0
2014021__star,1,0,0,0,0,0,0,0,0,0
2014022__star,0,0,0,0,0,0,1,0,0,0
2014023__star,0,0,0,0,0,0,0,0,0,1
2014024__star,0,0,0,0,0,0,1,0,0,0
2014025__star,1,0,0,0,0,0,0,0,0,0
2014026__star,0,0,0,0,1,0,0,0,0,0
2014027__star,0,0,0,0,0,0,0,0,0,1
2014028__star,1,0,0,0,0,0,0,0,0,0
2014029__star,0,0,0,0,0,0,1,0,0,0
2014030__star,0,0,0,0,0,0,0,0,1,0
2014031__star,0,0,0,0,0,0,0,0,0,1
2014032__star,0,0,0,1,0,0,0,0,0,0
2014033__star,0,0,0,0,0,1,0,0,0,0
2014034__star,0,0,0,0,0,0,0,0,1,0
2014035__star,0,1,0,0,0,0,0,0,0,0
2014036__star,0,0,0,0,0,0,0,0,1,0
2014037__star,0,0,0,0,0,1,0,0,0,0
2014038__star,0,0,0,1,0,0,0,0,0,0
2014039__star,0,0,0,1,0,0,0,0,0,0
2014040__star,0,0,0,1,0,0,0,0,0,0
2014041__star,0,0,0,0,1,0,0,0,0,0
2014042__star,0,0,0,1,0,0,0,0,0,0
2014043__star,0,0,0,0,0,0,0,0,0,1
2014044__star,0,0,0,0,0,0,0,0,0,1
2014045__star,0,0,1,0,0,0,0,0,0,0
2014046__star,1,0,0,0,0,0,0,0,0,0
2014047__star,0,0,0,0,0,0,0,1,0,0
2014048__star,1,0,0,0,0,0,0,0,0,0
2014049__star,0,0,0,0,0,0,0,0,0,1
2014050__star,0,0,0,1,0,0,0,0,0,0
2014051__star,0,0,0,0,0,0,1,0,0,0
2014052__star,0,0,0,0,0,0,0,0,0,1
2014053__star,0,0,0,0,1,0,0,0,0,0
2014054__star,0,0,0,0,0,0,0,0,0,1
2014055__star,0,0,0,0,1,0,0,0,0,0
2014056__star,0,0,0,1,0,0,0,0,0,0
2014057__star,0,0,0,0,1,0,0,0,0,0
2014058__star,1,0,0,0,0,0,0,0,0,0
2014059__star,0,0,0,0,0,0,1,0,0,0
2014060__star,0,0,1,0,0,0,0,0,0,0
2014061__star,1,0,0,0,0,0,0,0,0,0
2014062__star,1,0,0,0,0,0,0,0,0,0
2014063__star,1,0,0,0,0,0,0,0,0,0
2014064__star,0,0,0,0,0,0,1,0,0,0
2014065__star,1,0,0,0,0,0,0,0,0,0
2014066__star,0,0,0,0,1,0,0,0,0,0
2014067__star,0,0,1,0,0,0,0,0,0,0
2014068__star,0,1,0,0,0,0,0,0,0,0
2014069__star,0,0,0,0,0,0,0,0,1,0
2014070__star,0,0,0,0,0,1,0,0,0,0
2014071__star,0,0,0,0,1,0,0,0,0,0
2014072__star,1,0,0,0,0,0,0,0,0,0
2014073__star,0,0,1,0,0,0,0,0,0,0
2014074__star,1,0,0,0,0,0,0,0,0,0
2014075__star,0,0,0,1,0,0,0,0,0,0
2014076__star,0,0,0,1,0,0,0,0,0,0
2014077__star,0,0,1,0,0,0,0,0,0,0
2014078__star,0,1,0,0,0,0,0,0,0,0
2014079__star,0,0,1,0,0,0,0,0,0,0
2014080__star,0,0,0,0,0,1,0,0,0,0
2014081__star,0,0,0,0,0,0,0,0,0,1
2014082__star,0,0,0,0,1,0,0,0,0,0
2014083__star,1,0,0,0,0,0,0,0,0,0
2014084__star,0,0,0,0,0,0,0,0,1,0
2014085__star,0,0,0,0,0,0,1,0,0,0
2014086__star,0,0,0,0,0,1,0,0,0,0
2014087__star,0,0,0,1,0,0,0,0,0,0
2014088__star,0,0,0,0,0,1,0,0,0,0
2014089__star,0,0,0,1,0,0,0,0,0,0
2014090__star,0,0,0,0,0,0,0,0,1,0
2014091__star,0,0,0,0,0,0,0,0,1,0
2014092__star,0,0,0,0,0,0,0,0,0,1
2014093__star,0,0,0,0,0,1,0,0,0,0
2014094__star,0,0,0,0,0,0,0,1,0,0
2014095__star,0,0,0,0,0,0,1,0,0,0
2014096__star,0,0,0,0,0,0,1,0,0,0
2014097__star,0,0,0,0,1,0,0,0,0,0
2014098__star,0,0,0,1,0,0,0,0,0,0
2014099__star,0,0,1,0,0,0,0,0,0,0
2014100__star,0,0,0,1,0,0,0,0,0,0
2014101__star,0,0,0,0,0,0,1,0,0,0
2014102__star,1,0,0,0,0,0,0,0,0,0
2014103__star,0,1,0,0,0,0,0,0,0,0
2014104__star,0,0,0,0,0,0,0,1,0,0
2014105__star,1,0,0,0,0,0,0,0,0,0
2014106__star,0,0,0,1,0,0,0,0,0,0
2014107__star,0,0,0,0,0,0,1,0,0,0
2014108__star,0,0,0,0,0,0,0,0,0,1
2014109__star,0,0,0,0,0,0,1,0,0,0
2014110__star,1,0,0,0,0,0,0,0,0,0
2014111__star,0,0,0,0,0,1,0,0,0,0
2014112__star,0,0,0,1,0,0,0,0,0,0
2014113__star,0,0,0,0,0,1,0,0,0,0
2014114__star,0,0,0,0,0,1,0,0,0,0
2014115__star,0,0,0,0,0,0,0,0,1,0
2014116__star,0,0,0,0,1,0,0,0,0,0
2014117__star,0,0,0,0,1,0,0,0,0,0
2014118__star,0,0,0,0,0,0,0,1,0,0
2014119__star,0,0,0,0,0,0,1,0,0,0
2014120__star,0,0,0,0,0,0,1,0,0,0
2014121__star,0,0,0,0,0,0,0,0,0,1
2014122__star,0,0,0,0,0,0,0,0,1,0
2014123__star,1,0,0,0,0,0,0,0,0,0
2014124__star,0,0,0,0,0,0,0,0,0,1
2014125__star,0,0,0,0,0,0,1,0,0,0
2014126__star,0,0,0,0,1,0,0,0,0,0
2014127__star,0,1,0,0,0,0,0,0,0,0
2014128__star,0,0,0,1,0,0,0,0,0,0
2014129__star,0,0,0,0,0,1,0,0,0,0
2014130__star,0,0,0,0,0,0,0,0,1,0
2014131__star,0,0,0,0,0,0,0,0,0,1
2014132__star,0,0,0,0,0,0,0,1,0,0
2014133__star,1,0,0,0,0,0,0,0,0,0
2014134__star,0,0,0,0,1,0,0,0,0,0
2014135__star,0,0,0,0,0,0,1,0,0,0
2014136__star,0,0,0,0,1,0,0,0,0,0
2014137__star,0,0,0,0,0,0,0,0,0,1
2014138__star,0,0,0,0,0,0,0,0,0,1
2014139__star,0,0,1,0,0,0,0,0,0,0
2014140__star,0,0,0,0,0,0,0,0,0,1
2014141__star,0,0,1,0,0,0,0,0,0,0
2014142__star,0,0,1,0,0,0,0,0,0,0
2014143__star,0,1,0,0,0,0,0,0,0,0
2014144__star,0,0,0,0,0,0,0,1,0,0
2014145__star,0,0,0,0,0,0,1,0,0,0
2014146__star,0,0,0,0,0,0,0,1,0,0
2014147__star,0,0,0,0,0,0,0,0,0,1
2014148__star,0,0,0,0,0,1,0,0,0,0
2014149__star,1,0,0,0,0,0,0,0,0,0
2014150__star,0,0,0,1,0,0,0,0,0,0
2014151__star,0,0,0,0,0,0,0,0,0,1
2014152__star,0,0,0,0,0,0,0,0,1,0
2014153__star,0,0,0,0,0,0,0,1,0,0
2014154__star,0,0,0,0,0,0,1,0,0,0
2014155__star,0,0,0,0,0,0,0,0,0,1
2014156__star,1,0,0,0,0,0,0,0,0,0
2014157__star,0,0,0,0,0,0,0,0,0,1
2015001__star,0,0,1,0,0,0,0,0,0,0
2015002__star,0,0,0,0,0,0,1,0,0,0
2015003__star,1,0,0,0,0,0,0,0,0,0
2015004__star,0,0,0,1,0,0,0,0,0,0
2015005__star,1,0,0,0,0,0,0,0,0,0
2015006__star,0,0,0,0,0,1,0,0,0,0
2015007__star,0,0,0,1,0,0,0,0,0,0
2015008__star,0,0,0,1,0,0,0,0,0,0
2015009__star,0,0,0,0,0,0,0,0,0,1
2015010__star,1,0,0,0,0,0,0,0,0,0
2015011__star,0,0,0,0,0,1,0,0,0,0
2015012__star,1,0,0,0,0,0,0,0,0,0
2015013__star,0,0,0,0,1,0,0,0,0,0
2015014__star,0,0,0,0,0,0,0,0,0,1
2015015__star,0,0,0,1,0,0,0,0,0,0
2015016__star,0,1,0,0,0,0,0,0,0,0
2015017__star,0,1,0,0,0,0,0,0,0,0
2015018__star,0,0,1,0,0,0,0,0,0,0
2015019__star,0,0,0,0,0,0,1,0,0,0
2015020__star,0,1,0,0,0,0,0,0,0,0
2015021__star,0,0,0,0,0,0,1,0,0,0
2015022__star,0,0,0,1,0,0,0,0,0,0
2015023__star,0,1,0,0,0,0,0,0,0,0
2015024__star,1,0,0,0,0,0,0,0,0,0
2015025__star,0,0,0,0,0,1,0,0,0,0
2015026__star,1,0,0,0,0,0,0,0,0,0
2015027__star,0,0,0,1,0,0,0,0,0,0
2015028__star,0,1,0,0,0,0,0,0,0,0
2015029__star,0,0,0,0,1,0,0,0,0,0
2015030__star,0,0,0,1,0,0,0,0,0,0
2015031__star,0,0,0,0,0,0,0,0,0,1
2015032__star,0,0,0,0,0,0,1,0,0,0
2015033__star,0,0,0,0,1,0,0,0,0,0
2015034__star,0,0,0,0,1,0,0,0,0,0
2015035__star,0,0,0,0,0,0,1,0,0,0
2015036__star,0,0,0,0,0,0,1,0,0,0
2015037__star,0,0,0,0,0,0,0,1,0,0
2015038__star,1,0,0,0,0,0,0,0,0,0
2015039__star,0,0,0,1,0,0,0,0,0,0
2015040__star,1,0,0,0,0,0,0,0,0,0
2015041__star,0,0,1,0,0,0,0,0,0,0
2015042__star,0,1,0,0,0,0,0,0,0,0
2015043__star,0,0,0,0,0,0,0,0,1,0
2015044__star,0,1,0,0,0,0,0,0,0,0
2015045__star,0,0,0,0,1,0,0,0,0,0
2015046__star,0,0,1,0,0,0,0,0,0,0
2015047__star,0,1,0,0,0,0,0,0,0,0
2015048__star,0,0,0,0,1,0,0,0,0,0
2015049__star,0,0,0,0,0,1,0,0,0,0
2015050__star,0,0,0,1,0,0,0,0,0,0
2015051__star,0,0,1,0,0,0,0,0,0,0
2015052__star,0,0,0,0,1,0,0,0,0,0
2015053__star,1,0,0,0,0,0,0,0,0,0
2015054__star,0,0,0,0,0,0,0,0,0,1
2015055__star,0,0,1,0,0,0,0,0,0,0
2015056__star,0,0,0,1,0,0,0,0,0,0
2015057__star,0,0,0,0,1,0,0,0,0,0
2015058__star,0,0,1,0,0,0,0,0,0,0
2015059__star,0,0,0,0,1,0,0,0,0,0
2015060__star,0,0,0,0,0,0,0,0,0,1
2015061__star,0,0,0,0,0,0,1,0,0,0
2015062__star,0,0,1,0,0,0,0,0,0,0
2015063__star,0,0,1,0,0,0,0,0,0,0
2015064__star,0,0,0,0,1,0,0,0,0,0
2015065__star,0,1,0,0,0,0,0,0,0,0
2015066__star,0,1,0,0,0,0,0,0,0,0
2015067__star,0,0,1,0,0,0,0,0,0,0
2015068__star,0,0,0,0,0,0,0,0,0,1
2015069__star,0,0,0,0,0,0,0,1,0,0
2015070__star,0,0,0,1,0,0,0,0,0,0
2015071__star,0,1,0,0,0,0,0,0,0,0
2015072__star,1,0,0,0,0,0,0,0,0,0
2015073__star,0,0,0,1,0,0,0,0,0,0
2015074__star,0,1,0,0,0,0,0,0,0,0
2015075__star,0,1,0,0,0,0,0,0,0,0
2015076__star,0,0,0,1,0,0,0,0,0,0
2015077__star,0,0,0,0,0,0,1,0,0,0
2015078__star,0,0,0,0,0,0,0,0,0,1
2015079__star,0,0,1,0,0,0,0,0,0,0
2015080__star,0,0,1,0,0,0,0,0,0,0
2015081__star,0,0,0,0,0,0,1,0,0,0
2015082__star,1,0,0,0,0,0,0,0,0,0
2015083__star,0,0,0,0,0,0,0,1,0,0
2015084__star,0,0,0,0,0,0,0,1,0,0
2015085__star,0,0,1,0,0,0,0,0,0,0
2015086__star,1,0,0,0,0,0,0,0,0,0
2015087__star,1,0,0,0,0,0,0,0,0,0
2015088__star,0,0,0,1,0,0,0,0,0,0
2015089__star,0,0,0,0,1,0,0,0,0,0
2015090__star,0,0,0,0,0,0,0,0,1,0
2015091__star,0,0,0,0,0,0,0,0,1,0
2015092__star,1,0,0,0,0,0,0,0,0,0
2015093__star,0,0,0,1,0,0,0,0,0,0
2015094__star,0,0,0,0,0,0,0,0,1,0
