,ball_1,ball_2,ball_3,ball_4,ball_5,star
2012055,21,13,26,46,12,10
2012056,36,26,18,41,32,4
2012057,6,34,22,20,19,5
2012058,26,11,3,22,43,6
2012059,21,49,22,15,31,1
2012060,11,23,48,24,42,2
2012061,37,45,23,19,7,10
2012062,19,1,35,49,3,9
2012063,27,47,40,41,29,7
2012064,30,42,38,15,41,3
2012065,9,30,13,17,5,3
2012066,26,9,34,39,22,1
2012067,38,42,35,43,40,4
2012068,21,23,12,24,13,6
2012069,13,25,14,18,20,6
2012070,20,6,16,4,29,1
2012071,33,48,20,8,3,10
2012072,14,31,1,39,27,6
2012073,37,5,7,16,38,3
2012074,36,33,15,41,47,5
2012075,41,12,6,47,27,3
2012076,27,11,40,10,13,7
2012077,22,41,5,1,11,7
2012078,13,45,1,42,12,4
2012079,2,15,7,46,6,5
2012080,13,40,37,17,39,6
2012081,5,30,17,1,44,1
2012082,15,38,41,45,26,3
2012083,23,20,30,21,36,9
2012084,22,44,40,5,41,6
2012085,3,32,6,19,37,2
2012086,26,25,4,28,32,5
2012087,22,3,1,44,40,3
2012088,40,31,38,23,28,3
2012089,17,16,14,32,36,6
2012090,29,4,6,39,7,3
2012091,35,6,38,4,13,3
2012092,33,45,17,30,11,6
2012093,29,49,34,26,25,6
2012094,12,7,10,34,47,7
2012095,32,35,42,11,1,4
2012096,7,1,10,45,44,9
2012097,49,25,12,16,4,4
2012098,13,24,2,15,19,5
2012099,25,26,42,12,2,7
2012100,45,26,33,27,11,2
2012101,14,13,18,33,22,7
2012102,9,13,2,29,10,9
2012103,18,32,40,7,8,5
2012104,20,29,26,11,8,9
2012105,28,5,22,25,13,10
2012106,34,27,22,18,37,3
2012107,37,8,1,26,10,4
2012108,9,22,43,34,15,4
2012109,19,28,43,3,25,9
2012110,32,1,49,12,38,8
2012111,17,21,43,37,15,2
2012112,16,25,14,7,17,7
2012113,49,5,34,27,41,7
2012114,17,23,37,44,25,9
2012115,41,18,40,1,21,6
2012116,42,29,38,12,46,9
2012117,21,18,47,10,7,1
2012118,34,2,40,29,41,6
2012119,16,44,25,26,24,1
2012120,27,1,47,30,39,4
2012121,39,32,24,13,27,2
2012122,16,35,37,3,19,3
2012123,41,49,1,35,16,4
2012124,7,23,11,39,44,8
2012125,19,10,32,20,13,2
2012126,34,14,11,24,41,5
2012127,28,25,24,14,41,5
2012128,30,24,5,40,17,7
2012129,29,2,41,47,10,1
2012130,19,16,46,13,38,7
2012131,29,23,41,16,5,1
2012132,15,11,9,22,36,8
2012133,27,14,37,9,33,7
2012134,34,16,21,2,40,7
2012135,19,46,17,3,43,5
2012136,25,45,20,6,48,7
2012137,29,40,39,46,21,8
2012138,8,6,27,37,33,7
2012139,6,41,16,1,3,1
2012140,10,43,6,4,46,10
2012141,18,21,19,5,28,2
2012142,35,15,48,44,9,6
2012143,16,34,28,4,11,1
2012144,19,25,12,45,44,10
2012145,39,25,16,6,11,6
2012146,28,24,36,45,27,8
2012147,22,47,45,24,28,2
2012148,36,16,4,20,47,8
2012149,37,19,32,36,20,4
2012150,26,24,11,33,41,9
2012151,16,27,39,29,32,5
2012152,5,10,25,19,49,8
2012153,47,1,2,34,24,1
2012154,5,12,32,7,47,6
2012155,3,17,31,5,2,9
2012156,45,7,11,37,23,4
2012157,4,47,21,44,36,3
2013001,33,21,37,22,31,4
2013002,30,46,47,6,45,6
2013003,45,31,15,32,48,5
2013004,30,33,22,29,26,9
2013005,13,48,40,6,37,7
2013006,35,30,10,37,7,6
2013007,27,6,16,24,46,5
2013008,22,23,45,42,9,8
2013009,35,7,32,38,22,6
2013010,11,49,36,9,19,6
2013011,18,39,2,23,34,6
2013012,38,29,20,40,28,9
2013013,41,31,40,11,48,5
2013014,45,33,7,6,34,3
2013015,34,33,18,6,30,2
2013016,40,3,7,33,25,1
2013017,23,5,2,47,4,7
2013018,25,42,1,36,45,7
2013019,39,48,19,46,14,2
2013020,19,34,26,27,4,6
2013021,2,13,19,41,5,5
2013022,6,8,42,27,7,1
2013023,47,36,42,30,45,5
2013024,43,18,17,14,46,2
2013025,25,40,21,34,6,7
2013026,18,38,5,22,30,2
2013027,47,1,45,9,30,10
2013028,28,36,42,26,44,4
2013029,49,4,40,11,22,5
2013030,8,16,44,7,49,6
2013031,13,12,34,41,40,7
2013032,16,5,46,33,38,5
2013033,10,20,18,24,32,9
2013034,37,5,1,49,12,7
2013035,17,11,41,9,24,6
2013036,29,25,14,41,10,4
2013037,21,47,24,49,33,3
2013038,26,10,9,30,34,2
2013039,47,16,10,43,27,2
2013040,36,18,37,42,45,8
2013041,15,29,42,1,33,7
2013042,19,6,38,8,37,2
2013043,9,18,3,45,28,5
2013044,23,43,22,41,33,4
2013045,45,20,21,26,46,3
2013046,38,16,32,12,29,8
2013047,28,24,3,42,9,9
2013048,22,16,11,37,14,1
2013049,1,48,13,6,5,9
2013050,17,26,39,19,9,10
2013051,12,21,39,11,27,9
2013052,7,41,31,32,4,9
2013053,6,13,40,45,15,4
2013054,48,13,15,24,23,7
2013055,13,5,43,25,15,10
2013056,26,49,45,3,16,9
2013057,23,29,40,49,15,5
2013058,32,27,8,13,11,4
2013059,4,5,20,7,17,3
2013060,47,27,25,23,9,3
2013061,3,34,2,17,13,9
2013062,42,7,36,13,40,2
2013063,37,15,9,28,13,2
2013064,34,41,48,23,45,7
2013065,21,30,8,7,6,3
2013066,14,4,38,34,25,9
2013067,27,41,23,25,4,1
2013068,19,33,29,32,17,2
2013069,13,15,3,35,32,1
2013070,20,40,46,3,44,4
2013071,32,38,26,4,23,2
2013072,38,39,3,17,1,1
2013073,32,22,17,43,19,1
2013074,21,26,37,16,35,8
2013075,29,5,24,19,10,1
2013076,39,16,19,29,12,8
2013077,23,37,8,14,9,7
2013078,5,31,21,37,38,6
2013079,36,2,7,25,39,4
2013080,13,35,30,44,12,2
2013081,44,8,24,25,26,5
2013082,31,37,24,39,14,7
2013083,31,21,37,10,28,8
2013084,34,7,43,33,44,9
2013085,16,8,17,48,31,4
2013086,48,28,9,17,30,7
2013087,12,32,29,7,38,1
2013088,27,37,19,36,44,3
2013089,35,44,29,37,10,4
2013090,4,34,40,35,36,5
2013091,28,31,23,41,8,7
2013092,44,22,33,27,17,9
2013093,24,39,11,6,43,4
2013094,45,33,16,40,3,4
2013095,19,5,41,15,24,5
2013096,4,11,38,28,21,7
2013097,30,22,5,35,17,2
2013098,43,33,32,26,41,10
2013099,40,25,2,3,46,9
2013100,39,12,38,11,26,10
2013101,39,11,5,29,41,7
2013102,49,1,9,14,25,10
2013103,40,23,30,2,33,1
2013104,26,3,2,33,14,7
2013105,46,16,20,41,8,8
2013106,49,6,25,17,42,6
2013107,25,24,44,11,1,3
2013108,22,23,35,3,5,7
2013109,35,13,7,6,23,2
2013110,49,18,28,24,43,7
2013111,6,15,24,38,26,5
2013112,35,26,45,4,40,3
2013113,41,30,17,26,16,9
2013114,2,11,21,1,36,1
2013115,6,2,44,43,12,5
2013116,34,29,45,1,9,5
2013117,10,26,45,15,28,9
2013118,11,21,39,17,6,7
2013119,9,7,14,27,38,9
2013120,16,31,6,46,15,5
2013121,1,26,18,20,12,2
2013122,24,32,22,4,17,8
2013123,21,35,19,15,33,4
2013124,9,12,40,23,14,8
2013125,33,49,44,8,25,1
2013126,25,32,35,17,36,7
2013127,5,11,20,22,10,3
2013128,40,3,35,42,47,7
2013129,44,32,8,14,23,8
2013130,46,48,14,21,35,1
2013131,7,12,4,13,18,9
2013132,13,18,8,24,15,6
2013133,20,40,30,16,6,3
2013134,39,33,12,30,9,4
2013135,42,48,32,12,16,9
2013136,7,38,16,36,47,6
2013137,38,44,20,29,33,8
2013138,36,46,29,3,28,10
2013139,35,28,46,14,18,1
2013140,4,2,48,12,33,9
2013141,27,15,16,4,42,4
2013142,16,12,45,34,11,9
2013143,19,36,20,40,2,2
2013144,33,34,19,40,36,5
2013145,21,34,27,25,29,3
2013146,17,14,2,8,34,7
2013147,45,33,20,24,6,6
2013148,43,4,39,40,27,8
2013149,46,45,8,30,18,1
2013150,36,31,1,37,33,6
2013151,36,46,38,8,30,1
2013152,24,18,19,33,10,4
2013153,34,29,41,37,18,5
2013154,36,23,45,28,24,3
2013155,1,16,20,32,26,7
2013156,20,22,44,41,11,8
2014001,39,37,34,26,6,7
2014002,1,29,45,6,16,5
2014003,30,29,17,13,19,9
2014004,4,42,29,45,14,8
2014005,35,25,18,8,39,9
2014006,33,3,47,29,20,4
2014007,7,20,35,37,30,6
2014008,43,1,37,47,2,8
2014009,10,1,42,40,35,5
2014010,38,42,1,22,40,7
2014011,18,37,17,14,30,5
2014012,46,19,33,1,48,4
2014013,35,8,6,25,2,8
2014014,21,2,48,41,10,6
2014015,44,33,5,1,13,2
2014016,2,48,16,7,41,8
2014017,6,7,39,38,14,7
2014018,18,11,41,45,17,2
2014019,7,16,48,15,10,7
2014020,33,4,12,49,18,9
2014021,20,32,9,23,1,1
2014022,44,32,25,47,27,7
2014023,30,26,48,32,1,10
2014024,18,8,5,21,38,7
2014025,19,41,5,22,33,1
2014026,17,20,15,5,4,5
2014027,41,40,28,21,36,10
2014028,12,1,32,42,31,1
2014029,35,40,6,46,15,7
2014030,43,16,4,6,30,9
2014031,42,36,1,20,25,10
2014032,5,26,30,15,37,4
2014033,8,33,22,45,19,6
2014034,27,19,5,26,28,9
2014035,20,49,14,26,4,2
2014036,18,41,39,21,37,9
2014037,40,47,38,11,21,6
2014038,19,12,28,29,45,4
2014039,28,6,7,32,2,4
2014040,6,41,28,16,34,4
2014041,40,9,22,13,45,5
2014042,23,42,11,31,13,4
2014043,28,14,39,12,38,10
2014044,5,34,42,16,10,10
2014045,11,7,43,45,14,3
2014046,26,25,12,49,8,1
2014047,22,40,21,12,45,8
2014048,27,9,38,18,20,1
2014049,3,30,10,29,39,10
2014050,2,38,43,14,3,4
2014051,45,32,19,49,36,7
2014052,32,35,19,23,43,10
2014053,16,5,41,11,36,5
2014054,28,16,37,19,2,10
2014055,6,46,47,11,1,5
2014056,37,6,15,21,17,4
2014057,43,33,36,12,2,5
2014058,6,25,21,5,33,1
2014059,48,41,37,32,43,7
2014060,49,41,8,9,40,3
2014061,49,9,35,23,1,1
2014062,40,18,39,24,17,1
2014063,3,8,40,39,32,1
2014064,9,26,8,48,46,7
2014065,16,2,28,40,14,1
2014066,41,35,47,26,22,5
2014067,43,36,8,22,3,3
2014068,5,37,45,38,21,2
2014069,47,34,45,35,10,9
2014070,22,9,42,15,32,6
2014071,7,24,18,34,5,5
2014072,5,37,16,42,3,1
2014073,47,13,30,9,18,3
2014074,11,3,30,29,32,1
2014075,40,38,32,4,31,4
2014076,5,4,23,30,41,4
2014077,40,24,22,13,43,3
2014078,47,27,5,24,46,2
2014079,36,27,8,39,47,3
2014080,25,11,7,33,3,6
2014081,31,41,32,14,13,10
2014082,8,6,36,4,34,5
2014083,29,23,22,13,1,1
2014084,21,41,32,38,37,9
2014085,42,3,36,28,49,7
2014086,8,44,29,43,45,6
2014087,21,3,9,27,10,4
2014088,1,32,8,15,24,6
2014089,1,5,43,41,22,4
2014090,45,14,1,42,43,9
2014091,25,7,13,9,8,9
2014092,25,32,4,8,41,10
2014093,16,28,36,24,43,6
2014094,13,41,34,21,15,8
2014095,34,4,5,9,21,7
2014096,36,32,11,46,25,7
2014097,3,18,13,43,28,5
2014098,22,40,23,37,9,4
2014099,24,45,19,1,46,3
2014100,22,33,31,41,15,4
2014101,7,17,29,26,21,7
2014102,26,9,45,31,43,1
2014103,4,44,32,22,14,2
2014104,25,40,30,36,6,8
2014105,42,22,47,16,38,1
2014106,10,38,20,4,13,4
2014107,42,14,15,13,3,7
2014108,1,40,17,43,42,10
2014109,6,16,31,26,40,7
2014110,7,28,27,23,33,1
2014111,16,44,2,10,35,6
2014112,23,18,10,6,3,4
2014113,34,31,25,46,22,6
2014114,44,31,26,1,13,6
2014115,16,49,10,38,25,9
2014116,26,29,9,35,38,5
2014117,41,28,17,4,33,5
2014118,17,42,44,27,16,8
2014119,14,45,29,12,41,7
2014120,20,22,46,40,9,7
2014121,13,4,21,43,23,10
2014122,24,19,10,28,15,9
2014123,29,15,1,12,30,1
2014124,28,9,37,41,46,10
2014125,1,43,24,15,27,7
2014126,30,40,13,21,26,5
2014127,10,19,47,35,33,2
2014128,14,39,24,49,47,4
2014129,13,32,12,28,33,6
2014130,32,18,17,6,29,9
2014131,48,29,2,36,9,10
2014132,34,45,18,44,24,8
2014133,27,24,37,46,1,1
2014134,40,14,46,27,7,5
2014135,24,23,30,6,18,7
2014136,27,13,19,40,23,5
2014137,28,16,39,23,3,10
2014138,23,47,16,48,35,10
2014139,41,18,13,14,29,3
2014140,22,1,44,9,26,10
2014141,18,47,49,32,17,3
2014142,5,34,47,12,20,3
2014143,18,44,2,47,49,2
2014144,43,49,40,48,44,8
2014145,49,26,28,31,11,7
2014146,43,37,20,10,18,8
2014147,10,14,43,32,47,10
2014148,27,11,16,3,8,6
2014149,43,13,10,20,38,1
2014150,23,47,41,42,15,4
2014151,32,46,6,8,13,10
2014152,19,10,26,21,22,9
2014153,34,35,23,16,6,8
2014154,31,36,4,22,18,7
2014155,20,48,34,39,4,10
2014156,30,26,44,27,49,1
2014157,46,43,41,37,34,10
2015001,31,32,12,28,48,3
2015002,37,8,49,31,45,7
2015003,20,29,21,33,7,1
2015004,18,5,33,2,23,4
2015005,20,15,27,13,34,1
2015006,23,18,7,2,21,6
2015007,43,19,30,39,40,4
2015008,25,4,18,7,35,4
2015009,19,6,34,49,42,10
2015010,36,44,21,13,5,1
2015011,18,17,27,35,40,6
2015012,41,12,33,9,16,1
2015013,14,31,46,25,4,5
2015014,17,16,14,1,11,10
2015015,49,9,28,24,35,4
2015016,21,29,7,37,19,2
2015017,40,49,34,27,4,2
2015018,13,40,24,17,45,3
2015019,27,41,38,26,2,7
2015020,36,14,9,1,20,2
2015021,44,21,29,9,25,7
2015022,3,45,47,13,27,4
2015023,40,3,22,4,28,2
2015024,44,47,20,30,29,1
2015025,14,46,5,30,36,6
2015026,17,11,27,48,23,1
2015027,32,16,8,23,34,4
2015028,48,9,18,43,3,2
2015029,35,31,26,34,28,5
2015030,49,2,35,1,36,4
2015031,30,39,3,14,8,10
2015032,35,11,49,7,48,7
2015033,26,15,10,4,30,5
2015034,28,47,41,22,21,5
2015035,48,49,3,1,20,7
2015036,43,10,20,9,17,7
2015037,20,19,40,39,27,8
2015038,4,20,13,10,32,1
2015039,13,21,25,20,41,4
2015040,33,15,23,28,39,1
2015041,31,16,33,17,1,3
2015042,15,36,38,30,2,2
2015043,45,41,5,17,33,9
2015044,41,9,43,48,36,2
2015045,43,6,10,30,39,5
2015046,44,1,49,38,20,3
2015047,10,37,28,15,2,2
2015048,10,43,21,25,45,5
2015049,30,20,29,10,27,6
2015050,15,28,43,41,5,4
2015051,42,20,2,35,49,3
2015052,46,33,30,19,3,5
2015053,14,30,48,8,49,1
2015054,35,32,29,7,34,10
2015055,4,46,8,29,40,3
2015056,49,1,34,28,31,4
2015057,45,22,37,15,6,5
2015058,39,8,22,46,23,3
2015059,38,41,39,2,10,5
2015060,12,10,22,37,41,10
2015061,45,41,12,26,19,7
2015062,44,35,49,15,29,3
2015063,22,32,42,8,29,3
2015064,43,6,30,47,45,5
2015065,3,38,4,49,12,2
2015066,12,18,30,25,47,2
2015067,4,24,29,47,30,3
2015068,41,3,8,9,44,10
2015069,12,46,40,8,19,8
2015070,16,11,29,15,46,4
2015071,35,19,37,22,16,2
2015072,44,30,26,48,41,1
2015073,32,8,3,13,37,4
2015074,35,43,37,24,38,2
2015075,29,49,38,25,41,2
2015076,47,14,42,40,29,4
2015077,14,16,2,12,42,7
2015078,49,5,19,18,38,10
2015079,4,49,38,29,40,3
2015080,17,12,36,35,43,3
2015081,5,39,32,42,20,7
2015082,14,26,4,23,36,1
2015083,22,39,31,37,29,8
2015084,46,2,30,43,14,8
2015085,45,41,37,35,18,3
2015086,31,17,2,24,29,1
2015087,36,30,33,31,24,1
2015088,43,7,5,10,13,4
2015089,14,28,37,41,6,5
2015090,22,2,3,42,36,9
2015091,9,31,24,34,23,9
2015092,48,10,49,1,39,1
2015093,34,10,22,36,9,4
2015094,12,8,11,35,33,9
2015095,37,44,14,12,28,5
2015096,15,43,1,24,8,2
2015097,49,13,6,25,47,4
2015098,29,9,26,36,42,1
2015099,21,6,45,34,38,4
2015100,19,4,20,29,49,9
2015101,6,5,17,42,30,1
2015102,44,26,41,15,37,8
2015103,43,40,2,38,23,8
2015104,12,41,38,1,31,4
2015105,29,6,9,17,28,2
2015106,24,45,14,25,42,9
2015107,5,19,21,32,29,3
2015108,3,19,10,44,41,7
2015109,41,1,30,38,31,10
2015110,3,43,48,37,49,2
2015111,7,34,42,11,17,6
2015112,2,25,43,16,33,9
2015113,42,47,28,27,12,5
2015114,35,49,18,20,31,3
2015115,14,13,4,24,21,1
2015116,23,39,37,36,49,8
2015117,16,18,15,35,26,7
2015118,27,18,8,37,20,4
2015119,27,28,13,31,42,6
2015120,29,27,2,14,28,9
2015121,41,23,15,30,45,7
2015122,1,16,49,3,4,4
2015123,38,20,33,6,35,2
2015124,22,33,14,46,9,8
2015125,36,33,31,48,47,7
2015126,25,35,22,26,31,6
2015127,7,12,39,29,11,2
2015128,17,19,23,4,49,3
2015129,49,2,17,30,5,2
2015130,33,36,48,43,34,10
2015131,21,32,8,48,7,4
2015132,32,11,8,21,15,6
2015133,7,32,4,23,28,1
2015134,25,32,8,37,39,10
2015135,17,1,6,13,15,2
2015136,34,29,47,10,37,10
2015137,28,47,40,12,42,1
2015138,25,23,5,1,47,1
2015139,43,24,12,18,16,10
2015140,47,12,14,37,20,6
2015141,24,18,22,41,7,3
2015142,30,19,37,12,46,9
2015143,27,19,5,35,40,9
2015144,39,9,3,45,10,7
2015145,9,26,47,20,27,7
2015146,22,28,42,37,14,10
2015147,6,34,12,49,10,7
2015148,13,40,2,34,15,8
2015149,31,49,7,20,11,7
2015150,46,41,24,35,22,10
2015151,4,25,42,39,38,7
2015152,11,19,33,41,7,3
2015153,13,17,28,46,42,2
2015154,15,21,20,38,43,1
2015155,10,12,7,20,45,7
2015156,16,2,34,25,1,5
2016001,19,44,37,46,10,10
2016002,34,43,23,15,40,3
2016003,49,22,14,5,2,4
2016004,22,39,4,49,45,6
2016005,41,29,19,43,14,9
2016006,30,11,35,33,3,2
2016007,17,45,26,27,13,6
2016008,2,5,3,10,1,4
2016009,34,21,9,42,31,8
2016010,42,3,15,41,33,3
2016011,12,4,38,10,41,3
2016012,31,44,48,37,32,9
2016013,1,3,31,11,49,1
2016014,18,36,13,40,48,4
2016015,5,44,24,28,25,3
2016016,44,25,2,41,28,9
2016017,30,1,28,39,11,6
2016018,44,46,1,27,48,10
2016019,38,30,27,41,10,4
2016020,37,21,38,4,10,5
2016021,29,17,40,34,2,10
2016022,9,33,34,41,20,8
2016023,23,2,5,48,26,5
2016024,20,18,44,1,49,7
2016025,11,47,13,10,28,6
2016026,13,3,1,24,45,1
2016027,40,48,44,20,34,2
2016028,34,5,14,49,23,6
2016029,11,6,49,41,12,1
2016030,40,22,20,19,41,2
2016031,27,17,9,25,46,6
2016032,19,39,27,14,36,8
2016033,43,18,11,7,9,10
2016034,49,13,4,36,18,5
2016035,3,34,42,37,10,2
2016036,14,19,17,8,5,9
2016037,14,3,20,17,1,1
2016038,26,2,28,4,15,2
2016039,43,20,46,35,23,6
2016040,29,34,18,22,19,1
2016041,36,7,48,11,8,3
2016042,21,19,28,24,44,5
2016043,42,49,39,14,16,6
2016044,34,29,4,26,25,2
2016045,31,49,34,2,4,4
2016046,33,25,36,39,40,9
2016047,47,29,24,38,26,7
2016048,12,15,36,41,13,9
2016049,26,15,22,2,17,7
2016050,39,19,13,18,22,6
2016051,9,36,25,45,44,10
2016052,49,29,2,30,36,7
2016053,47,36,43,48,26,6
2016054,15,7,42,8,24,9
2016055,35,33,42,20,14,4
2016056,24,29,4,11,14,1
2016057,31,44,29,19,15,10
2016058,42,28,30,1,27,5
2016059,36,38,31,6,16,1
2016060,22,1,40,38,49,9
2016061,41,26,23,12,48,4
2016062,41,48,22,26,7,2
2016063,20,12,36,21,4,3
2016064,19,3,1,14,13,6
2016065,6,38,7,13,40,3
2016066,27,35,26,44,22,10
2016067,39,2,16,19,25,1
2016068,23,32,48,47,25,5
2016069,45,6,8,49,33,9
2016070,7,17,22,46,44,6
2016071,28,36,5,21,8,8
2016072,34,2,8,5,33,10
2016073,18,33,10,20,39,3
2016074,38,4,45,13,43,10
2016075,4,27,10,36,5,9
2016076,16,20,19,35,49,3
2016077,22,23,8,41,24,7
2016078,17,22,9,14,48,10
2016079,8,24,31,17,16,5
2016080,12,10,25,22,47,1
2016081,26,38,47,13,16,8
2016082,46,15,6,39,3,10
2016083,36,35,2,25,27,4
2016084,30,28,47,34,7,10
2016085,45,21,46,48,11,4
2016086,29,25,2,39,20,7
2016087,32,1,13,29,46,1
2016088,2,27,33,21,15,10
2016089,3,29,46,5,1,4
2016090,34,7,44,19,8,6
2016091,30,9,22,46,23,9
2016092,45,29,36,42,24,7
2016093,18,27,39,44,24,3
2016094,44,12,7,25,31,10
2016095,1,26,2,36,3,7
2016096,49,30,19,17,7,3
2016097,33,1,9,6,46,6
2016098,16,31,25,27,26,7
2016099,12,21,35,24,40,4
2016100,35,10,28,43,15,9
2016101,21,44,42,12,34,7
2016102,3,4,34,41,42,2
2016103,45,21,2,31,23,8
2016104,44,36,49,25,48,2
2016105,12,26,19,47,10,1
2016106,36,24,45,49,47,5
2016107,43,48,7,42,30,4
2016108,26,34,38,13,42,9
2016109,46,38,29,31,19,6
2016110,6,5,11,13,22,10
2016111,29,18,37,7,47,7
2016112,12,3,4,34,25,2
2016113,41,37,20,18,45,10
2016114,30,15,40,13,20,10
2016115,33,32,31,41,43,10
2016116,4,23,26,19,27,7
2016117,44,46,29,42,45,3
2016118,13,42,8,16,23,1
2016119,46,43,7,22,8,10
2016120,18,28,15,2,43,3
2016121,5,26,28,46,35,9
2016122,18,19,3,48,9,2
2016123,2,19,34,47,23,2
2016124,47,30,41,32,39,7
2016125,8,31,48,39,22,4
2016126,32,28,29,26,38,1
2016127,29,41,3,43,35,8
2016128,18,29,36,17,23,7
2016129,1,46,20,40,35,10
2016130,21,36,44,26,14,4
2016131,11,35,16,29,41,4
2016132,26,1,49,7,14,10
2016133,16,42,21,6,34,5
2016134,1,46,21,6,31,6
2016135,3,22,47,14,8,5
2016136,29,11,19,16,2,8
2016137,41,6,14,16,26,2
2016138,37,48,1,26,24,7
2016139,34,48,41,46,36,7
2016140,7,18,12,45,3,8
2016141,47,7,25,2,12,7
2016142,9,21,44,6,11,7
2016143,41,45,20,10,38,6
2016144,9,33,31,3,40,5
2016145,11,13,38,4,44,7
2016146,29,30,23,6,26,4
2016147,5,44,7,2,45,3
2016148,41,43,27,24,28,9
2016149,12,14,11,6,36,6
2016150,10,9,44,14,46,7
2016151,13,5,16,32,2,5
2016152,17,40,41,26,3,7
2016153,25,42,17,39,22,6
2016154,22,48,7,20,35,1
2016155,3,16,27,29,37,6
2016156,34,35,16,39,15,4
2016157,45,49,43,33,4,8
2017001,31,38,11,19,40,5
2017002,17,36,16,26,38,7
2017003,33,46,24,21,22,8
2017004,21,16,6,42,2,7
2017005,30,13,28,22,19,3
2017006,19,18,44,37,16,1
2017007,35,32,14,37,26,5
2017008,48,29,34,5,47,4
2017009,40,36,32,8,31,6
2017010,15,5,17,49,31,9
2017011,10,19,20,28,4,2
2017012,6,5,10,2,26,5
2017013,4,22,40,23,32,4
2017014,45,24,17,46,9,7
2017015,32,22,1,35,37,7
2017016,19,31,33,40,30,2
2017017,17,33,37,40,19,6
2017018,37,17,29,15,1,3
2017019,5,16,39,44,18,3
2017020,8,16,21,14,24,10
2017021,32,23,49,1,3,4
2017022,20,29,43,41,15,10
2017023,17,25,22,35,43,10
2017024,40,32,43,11,48,2
2017025,3,37,16,17,47,5
2017026,33,31,16,46,20,5
2017027,28,14,37,32,4,4
2017028,26,10,6,41,3,9
2017029,40,16,46,42,47,2
2017030,1,39,31,13,42,7
2017031,16,21,34,48,24,3
2017032,25,5,46,36,31,8
2017033,33,18,1,30,6,2
2017034,42,39,28,13,40,1
2017035,43,25,28,2,11,5
2017036,2,5,8,43,49,1
2017037,2,49,9,38,18,8
2017038,35,14,10,26,25,5
2017039,46,2,44,9,25,9
2017040,34,16,44,3,9,3
2017041,10,40,42,20,6,10
2017042,17,44,18,45,29,5
2017043,11,3,20,14,1,2
2017044,48,18,3,28,40,7
2017045,28,29,41,40,49,5
2017046,8,36,46,4,33,7
2017047,47,39,38,41,48,9
2017048,17,21,31,1,46,5
2017049,7,42,28,45,41,9
2017050,27,6,8,14,16,5
2017051,48,37,46,44,34,9
2017052,18,46,37,16,35,6
2017053,20,15,27,46,6,3
2017054,27,41,34,6,45,5
2017055,33,7,47,22,43,6
2017056,30,22,20,43,12,9
2017057,16,13,9,28,47,10
2017058,22,13,1,27,5,1
2017059,25,44,6,30,22,7
2017060,33,31,28,34,42,3
2017061,27,21,22,7,31,10
2017062,17,22,18,8,30,5
2017063,9,8,28,40,17,8
2017064,40,43,39,41,1,9
2017065,1,36,9,41,27,1
2017066,23,45,36,34,44,3
2017067,49,12,17,41,21,7
2017068,22,43,36,40,21,5
2017069,49,34,37,36,8,10
2017070,5,29,4,7,27,5
2017071,44,43,49,41,31,5
2017072,26,25,40,14,39,3
2017073,25,43,18,47,40,9
2017074,12,22,34,18,39,6
2017075,48,27,23,35,24,5
2017076,1,49,5,29,38,9
2017077,48,30,37,29,9,1
2017078,26,47,16,33,21,8
2017079,48,8,10,28,2,2
2017080,18,29,17,34,8,6
2017081,9,30,46,43,31,10
2017082,23,43,17,21,18,4
2017083,3,16,31,43,18,5
2017084,34,37,24,48,29,2
2017085,40,41,5,33,16,2
2017086,16,26,6,8,9,7
2017087,40,30,16,5,28,9
2017088,14,11,38,21,35,3
2017089,13,44,35,3,25,2
2017090,24,41,45,23,10,1
2017091,45,37,47,25,31,7
2017092,34,30,9,12,32,7
2017093,3,25,30,13,37,2
2017094,38,24,42,21,14,4
2017095,32,38,36,31,49,1
2017096,13,36,41,15,5,10
2017097,13,15,39,2,9,4
2017098,31,29,25,19,41,4
2017099,39,8,40,21,7,7
2017100,8,36,43,27,14,5
2017101,32,23,16,1,4,7
2017102,10,40,35,32,38,3
2017103,6,8,20,24,42,6
2017104,29,26,7,12,47,9
2017105,10,14,1,40,18,7
2017106,33,6,27,1,35,9
2017107,49,46,28,19,39,4
2017108,44,13,19,15,39,1
2017109,23,42,48,45,12,9
2017110,18,45,4,25,33,1
2017111,37,46,4,18,16,5
2017112,12,25,37,29,34,9
2017113,37,6,4,17,22,6
2017114,15,33,22,19,37,4
2017115,37,16,17,33,34,6
2017116,13,10,16,42,35,4
2017117,16,44,3,38,27,7
2017118,1,11,28,12,20,7
2017119,45,34,20,30,1,9
2017120,41,44,8,37,46,3
2017121,47,30,6,15,3,9
2017122,44,48,6,29,15,4
2017123,18,20,38,43,47,3
2017124,39,48,30,5,32,8
2017125,5,13,25,12,24,7
2017126,2,42,6,20,21,8
2017127,12,21,47,44,25,3
2017128,9,3,19,41,43,8
2017129,22,12,47,5,29,8
2017130,32,42,12,44,34,5
2017131,18,8,26,9,32,1
2017132,23,7,38,35,6,7
2017133,30,45,49,27,48,1
2017134,37,41,13,26,2,5
2017135,40,47,48,1,36,3
2017136,30,29,24,3,43,5
2017137,12,10,16,35,14,6
2017138,13,9,17,37,48,1
2017139,6,30,40,43,35,3
2017140,30,1,10,2,39,8
2017141,43,1,48,2,47,10
2017142,36,5,6,39,46,6
2017143,8,20,3,12,13,4
2017144,24,45,39,33,35,1
