,ball_1,ball_2,ball_3,ball_4,ball_5,star
23134,2,49,1,36,14,9
23135,17,22,35,25,19,6
23136,46,39,23,45,13,7
23137,22,7,16,30,2,1
23138,12,21,48,29,20,3
23139,30,15,34,46,41,2
23140,18,45,41,4,17,2
23141,1,9,19,13,11,8
23142,19,8,46,26,9,9
23143,21,30,6,31,10,1
23144,25,19,12,11,28,4
23145,41,44,38,8,10,2
23146,29,1,43,37,27,7
23147,40,34,36,28,15,10
23148,25,48,16,12,49,10
23149,4,19,22,18,7,10
23150,1,15,12,30,44,1
23151,30,3,15,41,16,9
23152,2,3,29,30,31,10
23153,39,28,26,5,29,10
23154,9,32,7,47,1,1
23155,16,41,26,28,13,8
23156,36,12,7,11,38,6
24001,4,41,16,13,6,10
24002,36,1,45,9,14,3
24003,49,19,22,40,45,2
24004,6,48,11,49,46,2
24005,12,28,32,45,38,9
24006,12,15,21,29,48,6
24007,11,7,15,23,19,4
24008,29,8,37,22,39,10
24009,19,41,42,43,45,2
24010,32,29,37,20,5,9
24011,25,9,34,31,32,5
24012,47,2,14,33,30,5
24013,27,26,8,9,15,4
24014,34,2,13,15,31,8
24015,42,4,23,15,12,1
24016,36,3,33,34,42,2
24017,24,13,23,6,34,4
24018,44,15,37,34,40,8
24019,36,40,5,30,43,1
24020,28,15,3,46,36,2
24021,2,19,13,23,36,3
24022,35,23,16,42,8,2
24023,42,22,9,33,45,3
24024,14,45,37,22,25,3
24025,7,45,30,8,20,10
24026,2,38,46,27,43,3
24027,20,13,27,26,17,4
24028,25,8,18,27,37,8
24029,12,8,43,46,49,8
24030,29,28,25,7,35,2
24031,18,48,36,16,45,10
24032,5,29,4,10,13,1
24033,12,10,37,25,49,2
24034,36,48,30,20,40,8
24035,24,46,3,22,32,5
24036,47,49,20,34,32,1
24037,37,1,22,26,31,5
24038,28,45,2,15,23,7
24039,40,41,28,8,42,2
24040,9,17,15,12,26,8
24041,26,46,5,12,36,4
24042,27,2,36,43,6,5
24043,2,22,46,21,49,9
24044,18,1,33,9,39,2
24045,45,7,29,19,38,8
24046,24,2,21,36,31,6
24047,48,6,8,17,24,10
24048,13,10,22,24,16,7
24049,48,20,39,8,47,1
24050,38,25,40,41,39,7
24051,18,34,27,14,44,6
24052,49,47,20,3,30,7
24053,17,42,25,5,15,7
24054,2,16,19,12,6,3
24055,1,4,35,39,21,5
24056,7,34,6,3,36,7
24057,6,39,24,13,43,8
24058,26,13,25,12,18,4
24059,21,16,9,20,15,1
24060,14,34,37,15,45,2
24061,12,32,36,6,29,8
24062,46,23,21,32,20,10
24063,19,26,42,18,20,1
24064,41,19,32,42,47,1
24065,10,19,28,38,37,7
24066,27,2,48,43,3,8
24067,9,15,39,49,48,7
24068,4,6,35,47,7,1
24069,35,39,18,43,31,7
24070,47,5,34,28,39,8
24071,28,3,6,33,13,4
24072,8,16,42,30,40,2
24073,28,6,11,46,25,2
24074,35,11,18,46,30,2
24075,10,34,25,38,29,3
24076,48,47,6,45,1,6
24077,21,10,38,41,25,8
24078,17,24,30,43,1,7
24079,22,7,28,6,3,7
24080,4,1,24,21,42,3
24081,46,13,47,18,34,5
24082,7,42,31,8,24,6
24083,16,3,5,39,11,9
24084,21,5,6,24,42,8
24085,4,10,30,38,24,10
24086,35,40,17,6,47,4
24087,5,30,16,47,15,7
2008081,19,33,41,24,27,9
2008082,24,48,32,41,22,1
2008083,46,22,10,39,20,4
2008084,11,10,41,37,48,4
2008085,49,28,18,20,40,1
