,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,star
20250710,8,4,3,11,2,29,2
20250714,20,37,21,6,12,33,4
20250717,28,4,10,29,26,12,4
20250721,31,8,3,4,11,26,1
20250724,38,1,2,5,6,15,1
20250728,40,26,4,25,38,19,3
20250731,34,19,15,37,4,23,5
20250804,2,8,14,15,17,13,5
20250807,23,28,33,34,14,3,1
20250811,20,11,27,38,10,15,3
20250814,32,22,14,15,21,38,1
20250818,1,33,40,35,31,36,4
20250821,39,16,25,29,17,4,3
20250825,6,32,19,5,35,37,1
20250828,7,11,35,16,6,15,5
20250901,30,22,31,6,32,33,4
20250904,10,40,22,37,21,14,4
20250908,1,11,5,31,3,20,5
20250911,17,9,19,15,1,37,2
