,1,2,3,4,5,6,7,8,9,10,11,12
2005003__star_2,0,0,0,0,1,0,0,0,0,0,0,0
2005004__star_1,0,0,0,0,1,0,0,0,0,0,0,0
2005004__star_2,0,0,0,0,0,0,1,0,0,0,0,0
2005005__star_1,0,0,0,0,0,0,1,0,0,0,0,0
2005005__star_2,0,0,0,0,0,0,0,1,0,0,0,0
2005006__star_1,0,0,0,0,0,0,1,0,0,0,0,0
2005006__star_2,0,0,0,1,0,0,0,0,0,0,0,0
2005007__star_1,0,0,0,0,0,0,0,1,0,0,0,0
2005007__star_2,0,0,0,0,0,0,0,0,1,0,0,0
2005008__star_1,0,0,0,0,0,0,0,1,0,0,0,0
2005008__star_2,0,0,0,1,0,0,0,0,0,0,0,0
2005009__star_1,0,0,0,0,0,0,1,0,0,0,0,0
2005009__star_2,0,0,0,0,0,0,0,0,1,0,0,0
2005010__star_1,1,0,0,0,0,0,0,0,0,0,0,0
2005010__star_2,0,0,0,1,0,0,0,0,0,0,0,0
2005011__star_1,0,0,0,0,1,0,0,0,0,0,0,0
2005011__star_2,0,0,0,0,0,0,1,0,0,0,0,0
2005012__star_1,0,0,0,0,0,0,0,0,1,0,0,0
2005012__star_2,0,0,0,0,0,1,0,0,0,0,0,0
2005013__star_1,0,0,1,0,0,0,0,0,0,0,0,0
2005013__star_2,0,0,0,0,0,0,1,0,0,0,0,0
2005014__star_1,0,0,1,0,0,0,0,0,0,0,0,0
2005014__star_2,1,0,0,0,0,0,0,0,0,0,0,0
2005015__star_1,0,0,0,0,0,0,0,0,1,0,0,0
2005015__star_2,0,0,1,0,0,0,0,0,0,0,0,0
2005016__star_1,0,0,0,0,0,0,0,0,1,0,0,0
2005016__star_2,0,0,0,0,1,0,0,0,0,0,0,0
2005017__star_1,1,0,0,0,0,0,0,0,0,0,0,0
2005017__star_2,0,0,0,0,0,0,0,1,0,0,0,0
2005018__star_1,0,0,0,0,0,1,0,0,0,0,0,0
2005018__star_2,0,0,0,0,0,0,0,1,0,0,0,0
2005019__star_1,0,0,0,0,0,0,0,0,1,0,0,0
2005019__star_2,0,1,0,0,0,0,0,0,0,0,0,0
2005020__star_1,0,0,0,0,0,0,0,1,0,0,0,0
2005020__star_2,0,0,0,0,1,0,0,0,0,0,0,0
2005021__star_1,0,0,0,0,0,0,0,0,1,0,0,0
2005021__star_2,0,0,0,1,0,0,0,0,0,0,0,0
2005022__star_1,0,0,0,0,1,0,0,0,0,0,0,0
2005022__star_2,1,0,0,0,0,0,0,0,0,0,0,0
2005023__star_1,0,0,0,0,0,0,1,0,0,0,0,0
2005023__star_2,1,0,0,0,0,0,0,0,0,0,0,0
2005024__star_1,0,0,0,0,0,0,1,0,0,0,0,0
2005024__star_2,1,0,0,0,0,0,0,0,0,0,0,0
2005025__star_1,0,0,0,0,0,0,1,0,0,0,0,0
2005025__star_2,0,0,0,0,0,0,0,1,0,0,0,0
2005026__star_1,0,0,1,0,0,0,0,0,0,0,0,0
2005026__star_2,0,0,0,1,0,0,0,0,0,0,0,0
2005027__star_1,0,0,0,0,0,0,0,1,0,0,0,0
2005027__star_2,0,1,0,0,0,0,0,0,0,0,0,0
2005028__star_1,0,0,0,0,0,1,0,0,0,0,0,0
2005028__star_2,0,0,1,0,0,0,0,0,0,0,0,0
2005029__star_1,1,0,0,0,0,0,0,0,0,0,0,0
2005029__star_2,0,0,0,1,0,0,0,0,0,0,0,0
2005030__star_1,0,0,0,0,1,0,0,0,0,0,0,0
2005030__star_2,0,0,0,1,0,0,0,0,0,0,0,0
2005031__star_1,0,0,0,1,0,0,0,0,0,0,0,0
2005031__star_2,0,0,0,0,0,1,0,0,0,0,0,0
2005032__star_1,0,0,0,0,0,0,1,0,0,0,0,0
2005032__star_2,0,0,0,0,0,0,0,0,1,0,0,0
2005033__star_1,0,0,1,0,0,0,0,0,0,0,0,0
2005033__star_2,1,0,0,0,0,0,0,0,0,0,0,0
2005034__star_1,0,0,0,0,0,1,0,0,0,0,0,0
2005034__star_2,1,0,0,0,0,0,0,0,0,0,0,0
2005035__star_1,0,0,1,0,0,0,0,0,0,0,0,0
2005035__star_2,0,0,0,0,0,1,0,0,0,0,0,0
2005036__star_1,0,0,0,0,0,0,1,0,0,0,0,0
2005036__star_2,0,0,0,0,0,1,0,0,0,0,0,0
2005037__star_1,0,0,1,0,0,0,0,0,0,0,0,0
2005037__star_2,0,0,0,0,0,0,0,0,1,0,0,0
2005038__star_1,0,0,0,1,0,0,0,0,0,0,0,0
2005038__star_2,0,0,0,0,0,0,0,0,1,0,0,0
2005039__star_1,1,0,0,0,0,0,0,0,0,0,0,0
2005039__star_2,0,0,0,0,0,1,0,0,0,0,0,0
2005040__star_1,0,0,1,0,0,0,0,0,0,0,0,0
2005040__star_2,0,0,0,0,0,0,0,0,1,0,0,0
2005041__star_1,0,0,0,0,0,1,0,0,0,0,0,0
2005041__star_2,1,0,0,0,0,0,0,0,0,0,0,0
2005042__star_1,1,0,0,0,0,0,0,0,0,0,0,0
2005042__star_2,0,0,0,0,0,0,0,1,0,0,0,0
2005043__star_1,0,0,1,0,0,0,0,0,0,0,0,0
2005043__star_2,0,0,0,0,1,0,0,0,0,0,0,0
2005044__star_1,0,1,0,0,0,0,0,0,0,0,0,0
2005044__star_2,0,0,0,0,0,1,0,0,0,0,0,0
2005045__star_1,0,0,0,0,1,0,0,0,0,0,0,0
2005045__star_2,0,0,1,0,0,0,0,0,0,0,0,0
2005046__star_1,0,0,1,0,0,0,0,0,0,0,0,0
2005046__star_2,0,1,0,0,0,0,0,0,0,0,0,0
2005047__star_1,0,0,0,0,0,1,0,0,0,0,0,0
2005047__star_2,1,0,0,0,0,0,0,0,0,0,0,0
2005048__star_1,0,0,0,1,0,0,0,0,0,0,0,0
2005048__star_2,0,0,0,0,0,0,1,0,0,0,0,0
2005049__star_1,1,0,0,0,0,0,0,0,0,0,0,0
2005049__star_2,0,0,0,0,1,0,0,0,0,0,0,0
2005050__star_1,0,0,0,0,0,0,1,0,0,0,0,0
2005050__star_2,0,0,0,0,0,1,0,0,0,0,0,0
2005051__star_1,1,0,0,0,0,0,0,0,0,0,0,0
2005051__star_2,0,0,0,0,0,0,1,0,0,0,0,0
2005052__star_1,1,0,0,0,0,0,0,0,0,0,0,0
2005052__star_2,0,0,0,1,0,0,0,0,0,0,0,0
2006001__star_1,0,0,0,1,0,0,0,0,0,0,0,0
